feature_id,feature,panel_tier,persona,role,agent_value,revenue,legal_safety,feasibility,differentiation
8,/s never-dead CTA (tel: layer + tracked callback lead),launch-blocking,Daniel Cho,Investor,6,5,8,8,6
9,PII log scrub + legal identity fill,launch-blocking,Daniel Cho,Investor,2,3,10,9,1
10,Consent withdrawal endpoint + retention automation,launch-blocking,Daniel Cho,Investor,2,2,10,7,1
11,Sentry + PII-safe error monitoring + synthetic probes,launch-blocking,Daniel Cho,Investor,3,3,9,9,1
12,계좌이체 billing desk + credible pricing surface,launch-blocking,Daniel Cho,Investor,3,10,8,8,2
13,Meritz data provenance purge (phased),launch-blocking,Daniel Cho,Investor,1,1,9,5,1
14,Residual loading skeletons on token pages,mvp-candidate,Daniel Cho,Investor,3,2,10,9,2
15,Invited 계좌이체 paid pilot + founder concierge (Founding 20),mvp-candidate,Daniel Cho,Investor,7,9,8,9,3
16,Activation funnel instrumentation + UTM capture + dead-man funnel alarm,mvp-candidate,Daniel Cho,Investor,2,5,9,8,2
17,Claude per-call cost + parse-outcome telemetry,mvp-candidate,Daniel Cho,Investor,1,5,9,8,2
18,Golden-set normalization eval harness,mvp-candidate,Daniel Cho,Investor,3,3,9,5,6
19,Daily call list (오늘 전화 리스트),mvp-candidate,Daniel Cho,Investor,9,7,10,9,7
20,"KakaoTalk link preview cards (static first, per-token after warmth)",mvp-candidate,Daniel Cho,Investor,7,4,7,8,6
21,Truthful state matrix pass,mvp-candidate,Daniel Cho,Investor,4,2,10,7,2
22,SEO and crawl baseline,mvp-candidate,Daniel Cho,Investor,1,2,10,10,1
23,Recommendation-word blacklist (CI + server-side share check),mvp-candidate,Daniel Cho,Investor,2,2,10,8,2
24,Team invite onboarding link (consent-clean),mvp-candidate,Daniel Cho,Investor,4,6,9,8,5
25,"Multi-seat org code billing (지점 invoice, not a tier)",mvp-candidate,Daniel Cho,Investor,2,9,8,8,4
26,Community dictionary feedback loop,post-launch,Daniel Cho,Investor,4,2,10,8,7
27,Immutable comparison snapshot archive,post-launch,Daniel Cho,Investor,3,3,10,6,5
28,Agent referral coupon loop,post-launch,Daniel Cho,Investor,3,5,9,7,4
29,Persistency module (13/25회차),post-launch,Daniel Cho,Investor,6,6,9,8,3
30,판촉물 real imagery + manager-facing page,post-launch,Daniel Cho,Investor,3,3,7,6,3
1,Single-source consent copy + versioned re-consent sweep,launch-blocking,Seo Yeon-ju,Investor,3,2,9,7,2
2,"Identity-true seed upsert, seeds off the boot path",launch-blocking,Seo Yeon-ju,Investor,7,5,10,6,1
3,Always-on backend for customer-facing links,launch-blocking,Seo Yeon-ju,Investor,8,4,10,10,1
4,Nightly encrypted pg_dump + rehearsed restore + retention cycle,launch-blocking,Seo Yeon-ju,Investor,3,3,8,7,1
5,Single scheduled job runner with dead-man heartbeat,launch-blocking,Seo Yeon-ju,Investor,5,3,10,8,1
6,Reminder producer + 8am in-app morning digest,launch-blocking,Seo Yeon-ju,Investor,9,7,9,7,5
7,"Launch trust sweep: purge demo data, fix placeholders, hide ghost surfaces",launch-blocking,Seo Yeon-ju,Investor,5,4,10,9,1
8,/s never-dead CTA (tel: layer + tracked callback lead),launch-blocking,Seo Yeon-ju,Investor,7,5,8,8,5
9,PII log scrub + legal identity fill,launch-blocking,Seo Yeon-ju,Investor,2,3,10,9,1
10,Consent withdrawal endpoint + retention automation,launch-blocking,Seo Yeon-ju,Investor,2,2,10,7,3
11,Sentry + PII-safe error monitoring + synthetic probes,launch-blocking,Seo Yeon-ju,Investor,3,2,9,9,1
12,계좌이체 billing desk + credible pricing surface,launch-blocking,Seo Yeon-ju,Investor,3,9,7,8,2
13,Meritz data provenance purge (phased),launch-blocking,Seo Yeon-ju,Investor,2,2,10,4,2
14,Residual loading skeletons on token pages,mvp-candidate,Seo Yeon-ju,Investor,3,2,10,9,1
15,Invited 계좌이체 paid pilot + founder concierge (Founding 20),mvp-candidate,Seo Yeon-ju,Investor,6,8,7,9,4
16,Activation funnel instrumentation + UTM capture + dead-man funnel alarm,mvp-candidate,Seo Yeon-ju,Investor,2,4,9,8,1
17,Claude per-call cost + parse-outcome telemetry,mvp-candidate,Seo Yeon-ju,Investor,2,5,10,8,2
18,Golden-set normalization eval harness,mvp-candidate,Seo Yeon-ju,Investor,4,4,9,5,6
19,Daily call list (오늘 전화 리스트),mvp-candidate,Seo Yeon-ju,Investor,9,7,10,9,6
20,"KakaoTalk link preview cards (static first, per-token after warmth)",mvp-candidate,Seo Yeon-ju,Investor,7,4,8,8,5
21,Truthful state matrix pass,mvp-candidate,Seo Yeon-ju,Investor,5,2,10,7,1
22,SEO and crawl baseline,mvp-candidate,Seo Yeon-ju,Investor,1,2,10,10,1
23,Recommendation-word blacklist (CI + server-side share check),mvp-candidate,Seo Yeon-ju,Investor,4,4,10,7,7
24,Team invite onboarding link (consent-clean),mvp-candidate,Seo Yeon-ju,Investor,5,6,9,8,4
25,"Multi-seat org code billing (지점 invoice, not a tier)",mvp-candidate,Seo Yeon-ju,Investor,3,8,9,8,4
26,Community dictionary feedback loop,post-launch,Seo Yeon-ju,Investor,3,2,9,8,6
27,Immutable comparison snapshot archive,post-launch,Seo Yeon-ju,Investor,4,4,9,7,6
28,Agent referral coupon loop,post-launch,Seo Yeon-ju,Investor,3,5,7,7,2
29,Persistency module (13/25회차),post-launch,Seo Yeon-ju,Investor,7,7,9,8,5
30,판촉물 real imagery + manager-facing page,post-launch,Seo Yeon-ju,Investor,4,4,7,8,4
1,Single-source consent copy + versioned re-consent sweep,launch-blocking,Kang Min-ho,CEO,3,3,10,6,2
2,"Identity-true seed upsert, seeds off the boot path",launch-blocking,Kang Min-ho,CEO,9,7,10,6,2
3,Always-on backend for customer-facing links,launch-blocking,Kang Min-ho,CEO,8,7,10,10,3
4,Nightly encrypted pg_dump + rehearsed restore + retention cycle,launch-blocking,Kang Min-ho,CEO,2,3,8,6,1
5,Single scheduled job runner with dead-man heartbeat,launch-blocking,Kang Min-ho,CEO,2,3,9,8,1
6,Reminder producer + 8am in-app morning digest,launch-blocking,Kang Min-ho,CEO,8,6,9,7,4
7,"Launch trust sweep: purge demo data, fix placeholders, hide ghost surfaces",launch-blocking,Kang Min-ho,CEO,4,5,8,9,1
8,/s never-dead CTA (tel: layer + tracked callback lead),launch-blocking,Kang Min-ho,CEO,6,4,8,8,5
9,PII log scrub + legal identity fill,launch-blocking,Kang Min-ho,CEO,1,5,10,9,1
10,Consent withdrawal endpoint + retention automation,launch-blocking,Kang Min-ho,CEO,1,2,10,6,1
11,Sentry + PII-safe error monitoring + synthetic probes,launch-blocking,Kang Min-ho,CEO,2,3,8,9,1
12,계좌이체 billing desk + credible pricing surface,launch-blocking,Kang Min-ho,CEO,2,10,7,8,1
13,Meritz data provenance purge (phased),launch-blocking,Kang Min-ho,CEO,1,1,9,5,1
14,Residual loading skeletons on token pages,mvp-candidate,Kang Min-ho,CEO,4,2,10,9,2
15,Invited 계좌이체 paid pilot + founder concierge (Founding 20),mvp-candidate,Kang Min-ho,CEO,6,9,8,9,4
16,Activation funnel instrumentation + UTM capture + dead-man funnel alarm,mvp-candidate,Kang Min-ho,CEO,1,5,9,8,1
17,Claude per-call cost + parse-outcome telemetry,mvp-candidate,Kang Min-ho,CEO,2,6,9,8,1
18,Golden-set normalization eval harness,mvp-candidate,Kang Min-ho,CEO,4,3,9,5,6
19,Daily call list (오늘 전화 리스트),mvp-candidate,Kang Min-ho,CEO,9,7,9,8,6
20,"KakaoTalk link preview cards (static first, per-token after warmth)",mvp-candidate,Kang Min-ho,CEO,6,4,8,8,6
21,Truthful state matrix pass,mvp-candidate,Kang Min-ho,CEO,5,2,9,8,2
22,SEO and crawl baseline,mvp-candidate,Kang Min-ho,CEO,1,2,10,10,1
23,Recommendation-word blacklist (CI + server-side share check),mvp-candidate,Kang Min-ho,CEO,3,2,10,7,4
24,Team invite onboarding link (consent-clean),mvp-candidate,Kang Min-ho,CEO,3,6,9,8,5
25,"Multi-seat org code billing (지점 invoice, not a tier)",mvp-candidate,Kang Min-ho,CEO,2,9,7,8,4
26,Community dictionary feedback loop,post-launch,Kang Min-ho,CEO,3,2,9,8,5
27,Immutable comparison snapshot archive,post-launch,Kang Min-ho,CEO,4,4,9,6,7
28,Agent referral coupon loop,post-launch,Kang Min-ho,CEO,3,4,7,7,2
29,Persistency module (13/25회차),post-launch,Kang Min-ho,CEO,5,5,9,8,5
30,판촉물 real imagery + manager-facing page,post-launch,Kang Min-ho,CEO,3,3,7,7,3
1,Single-source consent copy + versioned re-consent sweep,launch-blocking,Lee Ha-eun,CEO,3,3,10,7,2
2,"Identity-true seed upsert, seeds off the boot path",launch-blocking,Lee Ha-eun,CEO,8,5,10,6,1
3,Always-on backend for customer-facing links,launch-blocking,Lee Ha-eun,CEO,8,5,10,10,1
4,Nightly encrypted pg_dump + rehearsed restore + retention cycle,launch-blocking,Lee Ha-eun,CEO,4,3,8,6,1
5,Single scheduled job runner with dead-man heartbeat,launch-blocking,Lee Ha-eun,CEO,3,3,9,7,1
6,Reminder producer + 8am in-app morning digest,launch-blocking,Lee Ha-eun,CEO,9,6,9,7,4
7,"Launch trust sweep: purge demo data, fix placeholders, hide ghost surfaces",launch-blocking,Lee Ha-eun,CEO,3,5,9,9,1
8,/s never-dead CTA (tel: layer + tracked callback lead),launch-blocking,Lee Ha-eun,CEO,7,4,9,8,4
9,PII log scrub + legal identity fill,launch-blocking,Lee Ha-eun,CEO,2,3,10,9,1
10,Consent withdrawal endpoint + retention automation,launch-blocking,Lee Ha-eun,CEO,2,2,10,6,2
11,Sentry + PII-safe error monitoring + synthetic probes,launch-blocking,Lee Ha-eun,CEO,3,2,9,8,1
12,계좌이체 billing desk + credible pricing surface,launch-blocking,Lee Ha-eun,CEO,2,10,8,8,3
13,Meritz data provenance purge (phased),launch-blocking,Lee Ha-eun,CEO,2,1,9,4,1
14,Residual loading skeletons on token pages,mvp-candidate,Lee Ha-eun,CEO,4,2,10,9,2
15,Invited 계좌이체 paid pilot + founder concierge (Founding 20),mvp-candidate,Lee Ha-eun,CEO,8,9,8,9,8
16,Activation funnel instrumentation + UTM capture + dead-man funnel alarm,mvp-candidate,Lee Ha-eun,CEO,2,5,9,7,2
17,Claude per-call cost + parse-outcome telemetry,mvp-candidate,Lee Ha-eun,CEO,2,5,9,7,2
18,Golden-set normalization eval harness,mvp-candidate,Lee Ha-eun,CEO,5,3,9,5,6
19,Daily call list (오늘 전화 리스트),mvp-candidate,Lee Ha-eun,CEO,9,7,9,8,7
20,"KakaoTalk link preview cards (static first, per-token after warmth)",mvp-candidate,Lee Ha-eun,CEO,7,4,8,8,5
21,Truthful state matrix pass,mvp-candidate,Lee Ha-eun,CEO,5,2,10,7,2
22,SEO and crawl baseline,mvp-candidate,Lee Ha-eun,CEO,1,2,10,10,1
23,Recommendation-word blacklist (CI + server-side share check),mvp-candidate,Lee Ha-eun,CEO,5,3,10,7,6
24,Team invite onboarding link (consent-clean),mvp-candidate,Lee Ha-eun,CEO,4,6,9,8,5
25,"Multi-seat org code billing (지점 invoice, not a tier)",mvp-candidate,Lee Ha-eun,CEO,3,9,8,7,4
26,Community dictionary feedback loop,post-launch,Lee Ha-eun,CEO,6,3,9,8,8
27,Immutable comparison snapshot archive,post-launch,Lee Ha-eun,CEO,4,5,8,6,7
28,Agent referral coupon loop,post-launch,Lee Ha-eun,CEO,3,6,8,7,4
29,Persistency module (13/25회차),post-launch,Lee Ha-eun,CEO,7,6,9,8,5
30,판촉물 real imagery + manager-facing page,post-launch,Lee Ha-eun,CEO,3,4,7,6,3
1,Single-source consent copy + versioned re-consent sweep,launch-blocking,Tommy Yoon,CEO,2,3,10,6,2
2,"Identity-true seed upsert, seeds off the boot path",launch-blocking,Tommy Yoon,CEO,8,8,10,6,1
3,Always-on backend for customer-facing links,launch-blocking,Tommy Yoon,CEO,8,7,10,10,1
4,Nightly encrypted pg_dump + rehearsed restore + retention cycle,launch-blocking,Tommy Yoon,CEO,5,6,9,6,1
5,Single scheduled job runner with dead-man heartbeat,launch-blocking,Tommy Yoon,CEO,4,4,9,7,1
6,Reminder producer + 8am in-app morning digest,launch-blocking,Tommy Yoon,CEO,9,8,9,7,5
7,"Launch trust sweep: purge demo data, fix placeholders, hide ghost surfaces",launch-blocking,Tommy Yoon,CEO,5,6,8,9,1
8,/s never-dead CTA (tel: layer + tracked callback lead),launch-blocking,Tommy Yoon,CEO,7,5,9,8,4
9,PII log scrub + legal identity fill,launch-blocking,Tommy Yoon,CEO,1,5,10,9,1
10,Consent withdrawal endpoint + retention automation,launch-blocking,Tommy Yoon,CEO,2,3,10,6,2
11,Sentry + PII-safe error monitoring + synthetic probes,launch-blocking,Tommy Yoon,CEO,4,5,9,8,1
12,계좌이체 billing desk + credible pricing surface,launch-blocking,Tommy Yoon,CEO,3,10,8,8,3
13,Meritz data provenance purge (phased),launch-blocking,Tommy Yoon,CEO,2,2,9,4,1
14,Residual loading skeletons on token pages,mvp-candidate,Tommy Yoon,CEO,3,2,10,9,1
15,Invited 계좌이체 paid pilot + founder concierge (Founding 20),mvp-candidate,Tommy Yoon,CEO,8,10,9,9,6
16,Activation funnel instrumentation + UTM capture + dead-man funnel alarm,mvp-candidate,Tommy Yoon,CEO,1,4,9,7,1
17,Claude per-call cost + parse-outcome telemetry,mvp-candidate,Tommy Yoon,CEO,1,6,9,8,1
18,Golden-set normalization eval harness,mvp-candidate,Tommy Yoon,CEO,3,3,8,5,4
19,Daily call list (오늘 전화 리스트),mvp-candidate,Tommy Yoon,CEO,9,8,9,8,7
20,"KakaoTalk link preview cards (static first, per-token after warmth)",mvp-candidate,Tommy Yoon,CEO,6,4,8,8,6
21,Truthful state matrix pass,mvp-candidate,Tommy Yoon,CEO,5,3,9,7,2
22,SEO and crawl baseline,mvp-candidate,Tommy Yoon,CEO,1,2,9,10,1
23,Recommendation-word blacklist (CI + server-side share check),mvp-candidate,Tommy Yoon,CEO,4,3,10,8,4
24,Team invite onboarding link (consent-clean),mvp-candidate,Tommy Yoon,CEO,4,7,9,7,5
25,"Multi-seat org code billing (지점 invoice, not a tier)",mvp-candidate,Tommy Yoon,CEO,3,9,8,7,4
26,Community dictionary feedback loop,post-launch,Tommy Yoon,CEO,4,2,9,8,5
27,Immutable comparison snapshot archive,post-launch,Tommy Yoon,CEO,5,4,9,6,6
28,Agent referral coupon loop,post-launch,Tommy Yoon,CEO,3,3,8,6,3
29,Persistency module (13/25회차),post-launch,Tommy Yoon,CEO,7,7,9,7,7
30,판촉물 real imagery + manager-facing page,post-launch,Tommy Yoon,CEO,4,3,7,4,4
1,Single-source consent copy + versioned re-consent sweep,launch-blocking,Oh Se-ra,PM,2,4,10,7,1
2,"Identity-true seed upsert, seeds off the boot path",launch-blocking,Oh Se-ra,PM,7,5,9,6,1
3,Always-on backend for customer-facing links,launch-blocking,Oh Se-ra,PM,8,6,9,10,2
4,Nightly encrypted pg_dump + rehearsed restore + retention cycle,launch-blocking,Oh Se-ra,PM,3,2,8,7,1
5,Single scheduled job runner with dead-man heartbeat,launch-blocking,Oh Se-ra,PM,3,3,9,7,1
6,Reminder producer + 8am in-app morning digest,launch-blocking,Oh Se-ra,PM,9,7,9,7,5
7,"Launch trust sweep: purge demo data, fix placeholders, hide ghost surfaces",launch-blocking,Oh Se-ra,PM,4,4,9,9,1
8,/s never-dead CTA (tel: layer + tracked callback lead),launch-blocking,Oh Se-ra,PM,6,4,8,8,4
9,PII log scrub + legal identity fill,launch-blocking,Oh Se-ra,PM,1,2,10,9,1
10,Consent withdrawal endpoint + retention automation,launch-blocking,Oh Se-ra,PM,2,2,10,6,2
11,Sentry + PII-safe error monitoring + synthetic probes,launch-blocking,Oh Se-ra,PM,3,3,9,8,1
12,계좌이체 billing desk + credible pricing surface,launch-blocking,Oh Se-ra,PM,3,9,8,7,2
13,Meritz data provenance purge (phased),launch-blocking,Oh Se-ra,PM,1,1,8,4,1
14,Residual loading skeletons on token pages,mvp-candidate,Oh Se-ra,PM,4,3,10,9,2
15,Invited 계좌이체 paid pilot + founder concierge (Founding 20),mvp-candidate,Oh Se-ra,PM,6,9,8,8,3
16,Activation funnel instrumentation + UTM capture + dead-man funnel alarm,mvp-candidate,Oh Se-ra,PM,2,6,10,7,3
17,Claude per-call cost + parse-outcome telemetry,mvp-candidate,Oh Se-ra,PM,1,5,9,7,2
18,Golden-set normalization eval harness,mvp-candidate,Oh Se-ra,PM,4,4,9,5,6
19,Daily call list (오늘 전화 리스트),mvp-candidate,Oh Se-ra,PM,9,7,9,8,7
20,"KakaoTalk link preview cards (static first, per-token after warmth)",mvp-candidate,Oh Se-ra,PM,6,4,8,8,7
21,Truthful state matrix pass,mvp-candidate,Oh Se-ra,PM,4,3,9,7,2
22,SEO and crawl baseline,mvp-candidate,Oh Se-ra,PM,1,2,9,10,1
23,Recommendation-word blacklist (CI + server-side share check),mvp-candidate,Oh Se-ra,PM,4,3,10,8,6
24,Team invite onboarding link (consent-clean),mvp-candidate,Oh Se-ra,PM,5,6,9,8,5
25,"Multi-seat org code billing (지점 invoice, not a tier)",mvp-candidate,Oh Se-ra,PM,3,8,8,7,5
26,Community dictionary feedback loop,post-launch,Oh Se-ra,PM,4,2,9,8,5
27,Immutable comparison snapshot archive,post-launch,Oh Se-ra,PM,2,2,9,6,4
28,Agent referral coupon loop,post-launch,Oh Se-ra,PM,3,6,8,6,5
29,Persistency module (13/25회차),post-launch,Oh Se-ra,PM,6,7,8,7,6
30,판촉물 real imagery + manager-facing page,post-launch,Oh Se-ra,PM,3,3,9,4,2
1,Single-source consent copy + versioned re-consent sweep,launch-blocking,Baek Jun-seo,PM,4,3,10,7,2
2,"Identity-true seed upsert, seeds off the boot path",launch-blocking,Baek Jun-seo,PM,9,5,10,6,1
3,Always-on backend for customer-facing links,launch-blocking,Baek Jun-seo,PM,8,4,10,10,1
4,Nightly encrypted pg_dump + rehearsed restore + retention cycle,launch-blocking,Baek Jun-seo,PM,7,3,7,7,1
5,Single scheduled job runner with dead-man heartbeat,launch-blocking,Baek Jun-seo,PM,7,5,9,8,1
6,Reminder producer + 8am in-app morning digest,launch-blocking,Baek Jun-seo,PM,9,7,9,8,4
7,"Launch trust sweep: purge demo data, fix placeholders, hide ghost surfaces",launch-blocking,Baek Jun-seo,PM,5,4,9,9,2
8,/s never-dead CTA (tel: layer + tracked callback lead),launch-blocking,Baek Jun-seo,PM,7,5,9,8,4
9,PII log scrub + legal identity fill,launch-blocking,Baek Jun-seo,PM,3,3,10,9,1
10,Consent withdrawal endpoint + retention automation,launch-blocking,Baek Jun-seo,PM,3,3,10,7,1
11,Sentry + PII-safe error monitoring + synthetic probes,launch-blocking,Baek Jun-seo,PM,6,3,9,9,1
12,계좌이체 billing desk + credible pricing surface,launch-blocking,Baek Jun-seo,PM,3,10,8,8,2
13,Meritz data provenance purge (phased),launch-blocking,Baek Jun-seo,PM,2,1,9,4,1
14,Residual loading skeletons on token pages,mvp-candidate,Baek Jun-seo,PM,4,2,10,9,2
15,Invited 계좌이체 paid pilot + founder concierge (Founding 20),mvp-candidate,Baek Jun-seo,PM,6,8,8,9,3
16,Activation funnel instrumentation + UTM capture + dead-man funnel alarm,mvp-candidate,Baek Jun-seo,PM,2,4,9,7,1
17,Claude per-call cost + parse-outcome telemetry,mvp-candidate,Baek Jun-seo,PM,3,4,9,8,2
18,Golden-set normalization eval harness,mvp-candidate,Baek Jun-seo,PM,4,3,8,5,5
19,Daily call list (오늘 전화 리스트),mvp-candidate,Baek Jun-seo,PM,9,7,9,8,6
20,"KakaoTalk link preview cards (static first, per-token after warmth)",mvp-candidate,Baek Jun-seo,PM,5,4,7,8,6
21,Truthful state matrix pass,mvp-candidate,Baek Jun-seo,PM,6,2,10,7,2
22,SEO and crawl baseline,mvp-candidate,Baek Jun-seo,PM,2,2,9,10,1
23,Recommendation-word blacklist (CI + server-side share check),mvp-candidate,Baek Jun-seo,PM,4,2,10,8,4
24,Team invite onboarding link (consent-clean),mvp-candidate,Baek Jun-seo,PM,5,5,9,8,3
25,"Multi-seat org code billing (지점 invoice, not a tier)",mvp-candidate,Baek Jun-seo,PM,3,9,8,8,3
26,Community dictionary feedback loop,post-launch,Baek Jun-seo,PM,4,2,9,8,5
27,Immutable comparison snapshot archive,post-launch,Baek Jun-seo,PM,4,4,9,7,5
28,Agent referral coupon loop,post-launch,Baek Jun-seo,PM,3,5,8,7,2
29,Persistency module (13/25회차),post-launch,Baek Jun-seo,PM,7,6,9,7,5
30,판촉물 real imagery + manager-facing page,post-launch,Baek Jun-seo,PM,4,3,7,7,3
1,Single-source consent copy + versioned re-consent sweep,launch-blocking,Nina Kwon,PM,2,2,10,7,2
2,"Identity-true seed upsert, seeds off the boot path",launch-blocking,Nina Kwon,PM,8,5,8,6,2
3,Always-on backend for customer-facing links,launch-blocking,Nina Kwon,PM,9,5,10,9,3
4,Nightly encrypted pg_dump + rehearsed restore + retention cycle,launch-blocking,Nina Kwon,PM,4,3,9,6,1
5,Single scheduled job runner with dead-man heartbeat,launch-blocking,Nina Kwon,PM,5,4,9,7,1
6,Reminder producer + 8am in-app morning digest,launch-blocking,Nina Kwon,PM,8,7,9,8,5
7,"Launch trust sweep: purge demo data, fix placeholders, hide ghost surfaces",launch-blocking,Nina Kwon,PM,6,6,8,9,2
8,/s never-dead CTA (tel: layer + tracked callback lead),launch-blocking,Nina Kwon,PM,8,6,9,8,6
9,PII log scrub + legal identity fill,launch-blocking,Nina Kwon,PM,2,3,10,9,1
10,Consent withdrawal endpoint + retention automation,launch-blocking,Nina Kwon,PM,2,2,10,6,2
11,Sentry + PII-safe error monitoring + synthetic probes,launch-blocking,Nina Kwon,PM,4,3,8,8,1
12,계좌이체 billing desk + credible pricing surface,launch-blocking,Nina Kwon,PM,3,9,7,8,3
13,Meritz data provenance purge (phased),launch-blocking,Nina Kwon,PM,1,1,9,4,1
14,Residual loading skeletons on token pages,mvp-candidate,Nina Kwon,PM,6,3,10,9,3
15,Invited 계좌이체 paid pilot + founder concierge (Founding 20),mvp-candidate,Nina Kwon,PM,7,8,6,8,6
16,Activation funnel instrumentation + UTM capture + dead-man funnel alarm,mvp-candidate,Nina Kwon,PM,1,4,9,7,1
17,Claude per-call cost + parse-outcome telemetry,mvp-candidate,Nina Kwon,PM,1,5,9,7,1
18,Golden-set normalization eval harness,mvp-candidate,Nina Kwon,PM,5,4,9,5,5
19,Daily call list (오늘 전화 리스트),mvp-candidate,Nina Kwon,PM,10,7,9,9,7
20,"KakaoTalk link preview cards (static first, per-token after warmth)",mvp-candidate,Nina Kwon,PM,8,5,7,8,6
21,Truthful state matrix pass,mvp-candidate,Nina Kwon,PM,6,3,9,7,2
22,SEO and crawl baseline,mvp-candidate,Nina Kwon,PM,1,2,9,10,1
23,Recommendation-word blacklist (CI + server-side share check),mvp-candidate,Nina Kwon,PM,4,3,10,7,4
24,Team invite onboarding link (consent-clean),mvp-candidate,Nina Kwon,PM,5,7,9,7,4
25,"Multi-seat org code billing (지점 invoice, not a tier)",mvp-candidate,Nina Kwon,PM,3,9,7,8,4
26,Community dictionary feedback loop,post-launch,Nina Kwon,PM,5,3,9,8,6
27,Immutable comparison snapshot archive,post-launch,Nina Kwon,PM,4,3,9,6,6
28,Agent referral coupon loop,post-launch,Nina Kwon,PM,3,6,7,7,4
29,Persistency module (13/25회차),post-launch,Nina Kwon,PM,7,6,9,8,6
30,판촉물 real imagery + manager-facing page,post-launch,Nina Kwon,PM,4,4,6,5,3
1,Single-source consent copy + versioned re-consent sweep,launch-blocking,Han Do-yun,Designer,3,2,10,7,2
2,"Identity-true seed upsert, seeds off the boot path",launch-blocking,Han Do-yun,Designer,8,5,9,6,1
3,Always-on backend for customer-facing links,launch-blocking,Han Do-yun,Designer,9,7,10,10,2
4,Nightly encrypted pg_dump + rehearsed restore + retention cycle,launch-blocking,Han Do-yun,Designer,3,2,7,6,1
